,TSLA,RIVN,ON,LCID,OLED,ALGM,POWI,WOLF,ENS,AEIS,BE,VICR,HASI,NVTS,GGR,LICY
,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close
timestamp,,,,,,,,,,,,,,,,
2022-01-03 05:00:00+00:00,1199.78,102.72,70.17,40.93,171.41,36.41,92.54,121.14,81.1,92.82,22.14,123.98,54.06,16.26,9.93,10.07
2022-01-04 05:00:00+00:00,1149.59,101.39,70.95,39.41,175.26,35.28,91.53,121.7,82.21,92.9,21.55,126.18,53.64,15.61,9.88,9.99
2022-01-05 05:00:00+00:00,1088.12,90.01,67.42,36.68,166.11,33.21,86.63,114.46,79.72,89.42,20.21,123.14,49.86,14.45,9.93,9.12
2022-01-06 05:00:00+00:00,1064.7,87.33,67.25,38.22,164.74,32.97,87.75,113.05,79.13,91.8,19.47,120.0,49.42,13.5,9.94,8.8
2022-01-07 05:00:00+00:00,1026.96,86.28,64.56,41.98,158.85,32.17,85.11,108.97,78.85,89.57,19.25,115.94,49.0,13.13,9.9,9.02
2022-01-10 05:00:00+00:00,1058.12,81.44,65.12,41.72,160.13,32.23,85.05,106.77,78.36,88.79,19.13,111.75,47.89,13.03,9.9,8.69
2022-01-11 05:00:00+00:00,1064.4,83.55,65.93,45.47,161.97,32.46,85.64,108.91,79.87,90.25,19.65,115.08,48.72,12.6,9.92,8.99
2022-01-12 05:00:00+00:00,1106.22,86.48,66.49,45.43,162.0,32.13,84.42,110.5,79.9,92.23,19.18,112.62,48.56,12.41,9.92,9.54
2022-01-13 05:00:00+00:00,1031.56,80.31,64.64,41.41,157.82,30.81,83.41,105.14,80.48,92.13,18.31,108.77,46.2,11.63,9.92,9.55
2022-01-14 05:00:00+00:00,1049.61,79.95,66.2,42.22,164.29,30.76,85.0,108.07,80.35,93.73,18.13,108.57,46.19,11.19,9.91,9.09
2022-01-18 05:00:00+00:00,1030.51,73.16,63.03,39.21,151.42,28.66,82.69,102.3,78.65,89.1,17.04,102.39,42.15,11.07,9.9,8.53
2022-01-19 05:00:00+00:00,995.65,69.4,59.01,40.03,149.31,27.86,80.52,96.55,77.53,86.11,16.83,99.74,42.14,10.39,9.92,8.15
2022-01-20 05:00:00+00:00,996.27,65.02,55.54,38.72,146.13,26.99,78.36,92.64,75.84,85.11,16.66,93.99,38.89,10.79,9.91,8.11
2022-01-21 05:00:00+00:00,943.9,64.51,54.73,37.75,145.53,26.59,78.16,89.81,74.21,85.87,15.58,90.98,38.78,10.16,9.9,7.65
2022-01-24 05:00:00+00:00,930.0,63.9,55.34,37.75,150.91,27.41,79.94,92.93,75.93,88.0,15.63,92.77,40.07,9.94,9.9,7.57
2022-01-25 05:00:00+00:00,918.4,59.61,53.32,35.46,145.08,26.06,77.12,88.94,74.35,84.19,15.22,87.81,38.45,9.54,9.88,7.31
2022-01-26 05:00:00+00:00,937.41,60.27,55.76,33.41,145.93,26.6,79.11,89.79,73.29,86.12,14.49,88.77,38.05,9.7,9.91,7.03
2022-01-27 05:00:00+00:00,829.1,53.94,53.67,28.7,140.55,25.61,75.37,89.47,72.98,79.24,13.22,82.76,36.75,8.65,9.88,6.7
2022-01-28 05:00:00+00:00,846.35,57.12,53.76,27.15,143.48,26.33,75.43,87.74,73.77,81.9,13.59,85.98,37.25,9.07,9.88,7.04
2022-01-31 05:00:00+00:00,936.72,65.74,59.0,29.39,153.51,28.38,80.71,94.24,74.93,86.18,15.08,94.33,41.48,9.97,9.9,7.58
2022-02-01 05:00:00+00:00,931.25,69.62,59.65,29.96,153.01,28.69,79.95,97.45,75.31,86.4,15.22,93.53,41.18,10.29,9.93,7.78
2022-02-02 05:00:00+00:00,905.66,64.32,61.08,27.68,152.55,28.63,81.07,96.1,74.95,86.5,14.9,94.47,40.42,9.79,9.93,7.53
2022-02-03 05:00:00+00:00,891.14,60.36,56.21,26.95,141.31,27.57,79.13,90.29,73.63,83.87,14.08,91.61,39.78,8.96,9.91,7.09
2022-02-04 05:00:00+00:00,923.32,60.87,57.42,27.55,144.25,27.8,83.11,92.64,73.0,82.69,14.25,93.21,40.89,9.83,9.89,7.09
2022-02-07 05:00:00+00:00,907.34,58.36,62.26,26.97,144.17,27.79,83.81,91.99,73.48,83.05,14.41,94.97,41.69,10.07,9.89,7.15
2022-02-08 05:00:00+00:00,922.0,60.95,65.97,27.43,146.77,28.58,86.51,95.28,73.82,83.69,14.85,101.7,41.73,10.85,9.9,7.35
2022-02-09 05:00:00+00:00,932.0,64.53,67.08,28.83,152.1,29.65,89.41,99.27,74.58,85.67,16.03,106.11,43.29,11.61,9.91,8.27
2022-02-10 05:00:00+00:00,904.55,64.72,63.42,27.91,147.13,28.92,86.87,96.62,73.52,85.59,15.49,104.5,40.71,11.33,9.92,7.48
2022-02-11 05:00:00+00:00,860.0,58.85,58.97,25.84,141.58,27.53,84.52,95.43,70.47,82.06,16.88,99.99,39.88,10.82,9.92,7.26
2022-02-14 05:00:00+00:00,875.76,62.65,58.66,27.44,141.49,27.71,84.89,97.04,71.06,82.28,17.51,100.37,39.81,10.9,9.92,7.29
2022-02-15 05:00:00+00:00,922.43,66.29,62.24,28.87,148.96,29.03,90.61,106.99,73.62,88.24,19.93,107.53,40.99,11.72,9.91,7.72
2022-02-16 05:00:00+00:00,923.39,66.25,63.11,29.0,148.35,29.26,92.88,105.4,75.28,89.11,19.76,104.83,41.54,9.56,9.91,7.67
2022-02-17 05:00:00+00:00,876.35,64.74,60.19,28.11,139.48,28.13,91.57,100.05,72.07,86.37,18.91,98.7,39.81,9.46,9.92,7.48
2022-02-18 05:00:00+00:00,856.98,66.37,60.2,26.59,137.62,27.88,89.64,96.59,71.66,86.33,18.35,95.18,44.14,9.47,9.92,7.05
2022-02-22 05:00:00+00:00,821.53,62.39,58.44,25.51,135.9,27.34,87.75,93.85,70.58,83.62,17.52,92.85,43.05,9.1,9.93,6.68
2022-02-23 05:00:00+00:00,764.04,57.53,57.75,23.975,132.98,26.7,86.49,91.87,70.16,82.82,17.48,89.41,43.23,8.96,9.93,6.39
2022-02-24 05:00:00+00:00,800.77,63.71,61.08,25.28,163.18,28.51,90.23,100.02,71.7,86.24,19.91,100.25,46.25,9.26,9.91,7.02
2022-02-25 05:00:00+00:00,809.87,63.43,63.5,26.35,157.71,28.48,89.57,101.1,73.73,88.03,20.32,74.98,46.56,9.6,9.93,7.4
2022-02-28 05:00:00+00:00,870.43,67.56,62.61,28.98,154.91,28.67,90.0,102.72,72.73,85.85,22.2,74.77,47.34,9.74,9.92,7.77
2022-03-01 05:00:00+00:00,864.37,61.91,59.65,24.99,154.22,27.7,86.73,98.44,70.23,85.1,22.56,71.74,48.55,9.38,9.92,7.67
