,FSLR,ENPH,SEDG,BEP,ARRY,ORA,PLUG,SHLS,ITRI,RUN,NXT,NEP,AY,CWEN,RNW,AMRC,NOVA,SPWR,CLNE,AMPS,STEM,FCEL,MAXN
,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close
timestamp,,,,,,,,,,,,,,,,,,,,,,,
2022-01-03 05:00:00+00:00,88.58,184.45,282.45,35.85,15.91,78.55,28.79,23.84,68.92,35.47,,83.76,35.61,35.96,7.56,82.11,28.75,21.55,6.54,10.5,19.24,5.78,14.83
2022-01-04 05:00:00+00:00,87.28,178.28,273.1,35.21,14.97,78.83,28.15,22.55,68.95,34.57,,81.25,35.19,35.39,7.46,79.6,26.7,21.53,6.63,10.53,18.77,5.88,14.57
2022-01-05 05:00:00+00:00,83.51,157.2,249.81,34.05,13.92,76.82,26.27,21.32,66.95,31.42,,79.36,34.48,33.97,7.36,70.55,23.9,19.78,6.07,9.89,16.76,5.32,13.11
2022-01-06 05:00:00+00:00,83.97,151.49,248.24,33.42,13.84,76.69,25.22,21.12,65.81,31.48,,77.93,34.11,34.16,7.33,70.96,23.82,19.15,6.19,9.94,16.11,5.14,12.81
2022-01-07 05:00:00+00:00,84.68,145.13,248.91,34.12,14.12,75.99,24.96,21.87,64.78,31.72,,79.1,34.13,33.86,6.99,67.99,23.99,19.38,6.2,9.53,15.83,5.1,12.62
2022-01-10 05:00:00+00:00,84.3,147.13,255.47,33.91,14.01,75.56,24.75,21.53,64.46,31.52,,78.21,33.84,33.15,6.89,65.99,23.88,19.62,6.06,9.28,15.58,4.97,12.31
2022-01-11 05:00:00+00:00,84.45,148.51,261.09,34.47,14.41,77.07,25.1,22.78,64.53,32.73,,77.95,33.73,33.61,7.07,66.02,24.47,20.31,6.35,9.87,16.15,5.18,12.64
2022-01-12 05:00:00+00:00,84.12,149.28,261.02,33.83,14.25,76.27,24.65,22.99,64.65,33.25,,76.74,34.24,33.42,7.11,65.18,24.61,20.38,6.29,9.81,15.97,5.07,12.87
2022-01-13 05:00:00+00:00,82.78,143.49,260.43,33.55,13.47,75.86,23.91,21.86,63.41,32.76,,77.13,33.18,33.0,6.87,61.0,24.05,20.11,6.04,9.49,15.07,4.87,11.97
2022-01-14 05:00:00+00:00,83.02,142.84,253.83,32.75,13.08,76.57,23.44,20.68,63.11,31.81,,76.25,33.05,32.96,6.72,57.13,23.59,20.16,6.08,9.18,14.9,4.83,12.4
2022-01-18 05:00:00+00:00,81.5,135.92,238.8,32.64,11.93,75.78,22.83,18.83,59.77,29.04,,72.9,32.28,32.67,6.3,52.69,22.49,19.34,5.77,8.68,14.1,4.58,11.73
2022-01-19 05:00:00+00:00,81.37,134.58,232.09,33.01,11.52,78.05,20.99,17.52,59.76,27.71,,73.57,33.43,33.6,6.13,51.83,21.55,18.92,5.73,8.26,13.83,4.3,11.34
2022-01-20 05:00:00+00:00,81.49,134.69,231.32,32.94,11.43,75.34,21.6,16.96,59.77,28.75,,73.77,32.85,33.38,6.0,51.1,22.13,19.02,5.51,7.98,13.38,4.13,11.6
2022-01-21 05:00:00+00:00,76.82,126.02,220.31,32.27,10.68,73.33,21.06,15.4,58.5,25.91,,73.09,32.26,32.89,5.65,48.68,20.29,15.795,5.14,7.78,12.51,3.9,10.71
2022-01-24 05:00:00+00:00,77.93,128.1,225.87,32.66,11.01,75.55,20.7,16.2,61.95,27.04,,72.75,32.89,33.2,5.47,50.52,21.51,16.71,5.24,7.52,12.48,3.92,11.55
2022-01-25 05:00:00+00:00,75.94,122.65,212.74,31.67,10.17,73.34,19.73,14.9,59.42,26.28,,70.78,32.41,33.06,5.35,48.96,20.4,16.28,5.51,7.32,12.09,3.87,10.81
2022-01-26 05:00:00+00:00,76.37,121.75,214.13,32.44,9.86,66.72,19.47,14.29,59.15,24.82,,72.65,32.03,33.18,5.17,48.22,18.86,15.99,5.7,7.28,11.72,3.86,10.26
2022-01-27 05:00:00+00:00,72.22,119.97,209.82,32.17,9.02,63.73,18.26,13.47,59.77,23.27,,71.65,31.87,32.58,5.45,44.15,17.74,15.12,5.67,7.08,10.92,3.56,9.5
2022-01-28 05:00:00+00:00,73.42,123.86,212.07,32.95,9.63,65.11,18.76,14.43,58.77,23.42,,71.87,31.44,32.9,6.0,46.11,18.19,15.33,5.69,7.02,11.32,3.68,9.91
2022-01-31 05:00:00+00:00,78.38,140.47,238.22,33.55,10.54,68.16,21.87,16.86,62.0,25.93,,75.22,32.63,33.68,6.36,50.61,19.66,16.78,6.07,7.21,12.28,4.24,11.03
2022-02-01 05:00:00+00:00,77.7,142.67,242.23,33.35,10.89,67.68,22.9,17.23,61.06,26.01,,75.56,32.51,33.05,6.05,50.0,20.02,16.55,6.34,7.0,12.63,4.46,10.19
2022-02-02 05:00:00+00:00,76.37,139.51,238.3,33.09,10.54,66.27,21.84,16.43,60.21,24.78,,75.97,32.51,33.14,6.26,49.28,19.03,15.76,6.03,6.57,12.42,4.19,9.59
2022-02-03 05:00:00+00:00,71.28,132.91,231.2,31.93,9.74,65.13,20.92,15.47,58.26,23.04,,72.92,31.67,32.19,6.27,47.64,17.18,15.09,5.86,6.38,11.51,4.07,8.82
2022-02-04 05:00:00+00:00,71.0,141.23,238.26,32.8,9.89,66.63,21.43,15.96,57.91,25.11,,73.8,32.0,32.2,6.22,47.03,18.67,15.86,6.0,6.89,11.38,4.28,8.85
2022-02-07 05:00:00+00:00,69.74,140.77,240.97,33.41,9.53,67.16,21.46,15.7,57.44,23.89,,73.76,31.68,32.46,6.19,48.56,17.4,15.62,6.2,6.62,11.38,4.37,8.59
2022-02-08 05:00:00+00:00,70.39,144.5,248.71,33.51,9.76,67.93,21.96,15.37,57.62,23.99,,73.51,32.06,32.61,6.43,50.5,17.98,16.1,6.34,6.74,11.56,4.52,9.0
2022-02-09 05:00:00+00:00,74.17,161.89,265.98,34.66,10.18,68.95,23.0,15.89,58.98,25.55,,75.38,33.25,33.36,6.85,54.17,19.2,17.16,6.74,7.02,12.5,4.81,9.88
2022-02-10 05:00:00+00:00,71.22,154.64,264.5,34.16,9.6,67.19,22.27,15.62,56.85,24.27,,72.46,32.51,32.7,6.8,53.73,18.47,16.77,6.63,7.36,11.67,4.82,9.89
2022-02-11 05:00:00+00:00,69.31,145.69,250.09,33.96,8.99,66.53,21.29,14.0,55.89,22.77,,71.01,31.99,32.35,6.75,52.28,17.27,16.15,6.6,7.07,10.9,4.64,9.18
2022-02-14 05:00:00+00:00,68.23,143.93,249.22,33.96,8.89,66.97,21.47,13.79,55.9,22.6,,71.83,32.13,32.56,6.98,52.46,17.14,15.83,6.45,6.92,10.53,4.62,9.03
2022-02-15 05:00:00+00:00,72.1,154.29,262.16,34.47,9.82,68.41,23.77,14.51,57.46,24.61,,72.1,32.36,32.73,7.57,56.07,18.48,17.09,6.65,7.12,11.39,5.49,9.97
