,ALB,AYI,LTHM,MP,SQM,FLNC,CHPT,MNTK,BLDP,LNZA,ALLG
,close,close,close,close,close,close,close,close,close,close,close
timestamp,,,,,,,,,,,
2022-01-03 05:00:00+00:00,236.67,213.09,25.52,47.65,50.73,34.87,19.87,10.16,12.63,9.66,9.92
2022-01-04 05:00:00+00:00,242.58,216.7,26.43,50.4,49.1,34.85,19.52,10.42,12.57,9.66,9.92
2022-01-05 05:00:00+00:00,235.64,213.06,24.2,45.51,47.66,30.23,18.16,10.28,12.01,9.66,9.9
2022-01-06 05:00:00+00:00,233.38,210.69,23.73,45.31,49.06,28.06,17.35,9.96,11.89,9.69,9.89
2022-01-07 05:00:00+00:00,236.02,214.63,23.8,45.52,49.96,27.4,16.89,9.9,11.65,9.69,9.89
2022-01-10 05:00:00+00:00,226.97,204.65,23.48,45.72,48.36,26.05,15.78,9.7,11.12,9.69,9.89
2022-01-11 05:00:00+00:00,240.17,208.75,24.73,47.72,51.87,26.92,16.21,10.04,11.31,9.69,9.89
2022-01-12 05:00:00+00:00,241.07,207.9,25.39,49.44,55.63,25.82,15.99,10.2,11.23,9.69,9.895
2022-01-13 05:00:00+00:00,235.23,206.93,24.52,45.89,55.55,24.6,14.79,9.9,11.06,9.69,9.89
2022-01-14 05:00:00+00:00,233.67,206.56,24.58,46.83,56.55,24.2,14.69,9.88,10.98,9.68,9.89
2022-01-18 05:00:00+00:00,226.3,207.29,23.72,46.88,56.43,23.49,14.3,10.0,10.67,9.68,9.89
2022-01-19 05:00:00+00:00,219.69,204.3,23.11,44.58,57.47,21.93,14.24,10.15,10.45,9.68,9.88
2022-01-20 05:00:00+00:00,217.15,200.08,22.74,42.35,55.97,21.37,14.13,10.67,10.48,9.68,9.89
2022-01-21 05:00:00+00:00,212.75,195.69,21.91,39.33,54.61,20.13,13.22,10.46,9.85,9.68,9.91
2022-01-24 05:00:00+00:00,211.92,198.3,22.56,40.09,53.29,20.66,12.94,9.95,9.8,9.68,9.9
2022-01-25 05:00:00+00:00,206.01,195.99,21.99,39.22,53.49,20.79,12.5,9.9,9.5,9.68,9.89
2022-01-26 05:00:00+00:00,205.62,193.84,21.74,38.97,52.09,19.96,12.59,9.79,9.49,9.66,9.9
2022-01-27 05:00:00+00:00,205.43,186.6,21.14,37.45,51.58,17.56,11.45,10.0,8.94,9.66,9.9
2022-01-28 05:00:00+00:00,206.23,188.16,21.1,37.96,51.19,17.03,12.65,10.01,9.2,9.66,9.9
2022-01-31 05:00:00+00:00,220.74,191.53,23.01,39.94,54.15,18.7,13.85,10.79,10.4,9.64,9.88
2022-02-01 05:00:00+00:00,225.2,194.07,23.36,40.36,56.71,19.16,14.24,10.83,10.69,9.62,9.935
2022-02-02 05:00:00+00:00,221.49,194.64,22.96,39.36,54.71,17.85,13.46,10.59,10.06,9.64,9.94
2022-02-03 05:00:00+00:00,215.06,189.05,22.05,33.75,52.73,15.61,12.59,10.38,9.5,9.58,9.91
2022-02-04 05:00:00+00:00,216.02,187.52,22.25,35.83,53.27,15.47,13.26,10.6,9.73,9.58,9.91
2022-02-07 05:00:00+00:00,219.78,186.5,22.72,37.57,55.6,15.97,12.7,10.14,9.28,9.63,9.93
2022-02-08 05:00:00+00:00,226.69,188.6,23.62,38.12,56.63,15.61,13.0,10.27,9.38,9.63,9.92
2022-02-09 05:00:00+00:00,236.43,191.82,24.49,39.36,58.82,16.67,13.82,10.53,9.86,9.63,9.92
