,QQQ,QCLN
,close,close
timestamp,,
2022-01-03 05:00:00+00:00,401.68,70.08
2022-01-04 05:00:00+00:00,396.47,69.04
2022-01-05 05:00:00+00:00,384.29,65.21
2022-01-06 05:00:00+00:00,384.02,64.41
2022-01-07 05:00:00+00:00,379.86,63.59
2022-01-10 05:00:00+00:00,380.11,63.03
2022-01-11 05:00:00+00:00,385.82,64.51
2022-01-12 05:00:00+00:00,387.35,65.29
2022-01-13 05:00:00+00:00,377.66,63.26
2022-01-14 05:00:00+00:00,380.01,63.54
2022-01-18 05:00:00+00:00,370.55,61.14
2022-01-19 05:00:00+00:00,366.48,59.33
2022-01-20 05:00:00+00:00,361.72,58.61
2022-01-21 05:00:00+00:00,351.69,56.19
2022-01-24 05:00:00+00:00,353.3,56.18
2022-01-25 05:00:00+00:00,345.11,54.35
2022-01-26 05:00:00+00:00,344.57,54.3
2022-01-27 05:00:00+00:00,341.1,51.8
2022-01-28 05:00:00+00:00,351.8,52.39
2022-01-31 05:00:00+00:00,363.05,57.11
2022-02-01 05:00:00+00:00,365.52,57.78
2022-02-02 05:00:00+00:00,368.49,56.66
2022-02-03 05:00:00+00:00,353.55,54.2
2022-02-04 05:00:00+00:00,358.01,55.74
2022-02-07 05:00:00+00:00,355.13,56.05
2022-02-08 05:00:00+00:00,359.12,57.46
2022-02-09 05:00:00+00:00,366.73,60.07
2022-02-10 05:00:00+00:00,358.43,58.43
2022-02-11 05:00:00+00:00,347.06,56.35
2022-02-14 05:00:00+00:00,347.49,56.22
2022-02-15 05:00:00+00:00,356.13,59.79
2022-02-16 05:00:00+00:00,356.04,60.03
2022-02-17 05:00:00+00:00,345.45,56.83
2022-02-18 05:00:00+00:00,341.51,55.49
2022-02-22 05:00:00+00:00,338.08,53.56
2022-02-23 05:00:00+00:00,329.42,52.16
2022-02-24 05:00:00+00:00,340.49,56.0
2022-02-25 05:00:00+00:00,345.77,56.95
2022-02-28 05:00:00+00:00,346.8,59.72
2022-03-01 05:00:00+00:00,341.49,58.86
2022-03-02 05:00:00+00:00,347.22,59.0
2022-03-03 05:00:00+00:00,342.26,57.3
2022-03-04 05:00:00+00:00,337.3,56.07
2022-03-07 05:00:00+00:00,324.86,55.55
2022-03-08 05:00:00+00:00,323.35,58.49
2022-03-09 05:00:00+00:00,334.99,60.29
2022-03-10 05:00:00+00:00,331.27,59.15
2022-03-11 05:00:00+00:00,324.4,57.22
2022-03-14 04:00:00+00:00,318.17,53.68
2022-03-15 04:00:00+00:00,328.15,55.91
2022-03-16 04:00:00+00:00,340.32,59.49
2022-03-17 04:00:00+00:00,344.44,60.55
2022-03-18 04:00:00+00:00,351.49,62.09
2022-03-21 04:00:00+00:00,350.08,61.72
2022-03-22 04:00:00+00:00,356.96,63.48
2022-03-23 04:00:00+00:00,351.83,63.09
2022-03-24 04:00:00+00:00,359.65,64.78
2022-03-25 04:00:00+00:00,359.35,63.75
2022-03-28 04:00:00+00:00,364.91,64.68
2022-03-29 04:00:00+00:00,371.19,66.3
2022-03-30 04:00:00+00:00,367.09,65.17
2022-03-31 04:00:00+00:00,362.54,64.62
2022-04-01 04:00:00+00:00,361.85,64.9
2022-04-04 04:00:00+00:00,369.3,67.28
2022-04-05 04:00:00+00:00,361.1,64.3
2022-04-06 04:00:00+00:00,353.26,62.18
2022-04-07 04:00:00+00:00,354.1,61.74
2022-04-08 04:00:00+00:00,349.15,60.13
2022-04-11 04:00:00+00:00,340.89,59.15
2022-04-12 04:00:00+00:00,339.45,58.83
2022-04-13 04:00:00+00:00,346.35,60.52
2022-04-14 04:00:00+00:00,338.43,59.02
2022-04-18 04:00:00+00:00,338.69,58.82
2022-04-19 04:00:00+00:00,346.26,60.44
2022-04-20 04:00:00+00:00,341.21,58.27
2022-04-21 04:00:00+00:00,334.15,55.2
2022-04-22 04:00:00+00:00,325.4,54.05
2022-04-25 04:00:00+00:00,329.58,54.49
2022-04-26 04:00:00+00:00,317.14,51.92
2022-04-27 04:00:00+00:00,316.76,52.42
2022-04-28 04:00:00+00:00,328.01,53.32
2022-04-29 04:00:00+00:00,313.25,52.22
2022-05-02 04:00:00+00:00,318.48,53.48
2022-05-03 04:00:00+00:00,318.82,54.48
2022-05-04 04:00:00+00:00,329.6,57.85
2022-05-05 04:00:00+00:00,313.0,54.88
2022-05-06 04:00:00+00:00,309.25,53.25
2022-05-09 04:00:00+00:00,297.15,49.02
2022-05-10 04:00:00+00:00,300.76,48.88
2022-05-11 04:00:00+00:00,291.84,46.08
2022-05-12 04:00:00+00:00,291.15,46.67
2022-05-13 04:00:00+00:00,301.94,50.04
2022-05-16 04:00:00+00:00,298.44,49.03
2022-05-17 04:00:00+00:00,306.17,51.97
2022-05-18 04:00:00+00:00,291.14,50.64
2022-05-19 04:00:00+00:00,289.58,52.08
2022-05-20 04:00:00+00:00,288.68,51.57
2022-05-23 04:00:00+00:00,293.48,51.99
2022-05-24 04:00:00+00:00,287.24,50.22
2022-05-25 04:00:00+00:00,291.26,51.17
2022-05-26 04:00:00+00:00,299.33,53.92
2022-05-27 04:00:00+00:00,309.1,56.61
2022-05-31 04:00:00+00:00,308.28,55.77
2022-06-01 04:00:00+00:00,306.0,54.43
2022-06-02 04:00:00+00:00,314.38,57.48
2022-06-03 04:00:00+00:00,306.2,56.4
2022-06-06 04:00:00+00:00,307.22,58.09
2022-06-07 04:00:00+00:00,309.87,58.58
2022-06-08 04:00:00+00:00,307.64,57.92
2022-06-09 04:00:00+00:00,299.4,56.24
2022-06-10 04:00:00+00:00,288.84,54.61
2022-06-13 04:00:00+00:00,275.41,50.51
2022-06-14 04:00:00+00:00,275.91,51.12
2022-06-15 04:00:00+00:00,282.8,52.67
2022-06-16 04:00:00+00:00,271.39,49.15
2022-06-17 04:00:00+00:00,274.69,51.49
2022-06-21 04:00:00+00:00,281.08,53.29
